"Time-","FSC-A-","SSC-A-","FITC-A-CD25","PE-A-CD127","PerCP-Cy5-5-A-CD4","PE-Cy7-A-","APC-A-","APC-Cy7-A-","Pacific Blue-A-","AmCyan-A-"
64.70,61894.84,23271.30,268.65,997.65,238.95,-22.95,-42.12,-4.32,68.44,132.24
64.80,159144.36,151641.45,336.15,602.10,302.40,27.00,271.08,83.16,343.36,459.36
65.50,148453.05,173230.66,303.75,741.15,630.45,24.30,164.16,79.92,555.64,501.12
65.70,140912.72,167368.95,272.70,315.90,163.35,62.10,307.80,41.04,584.64,632.20
65.80,141317.52,142885.36,287.55,286.20,314.55,32.40,247.32,96.12,470.96,538.24
66.00,144297.41,149374.80,199.80,1013.85,427.95,87.75,339.12,-61.56,400.20,482.56
66.00,143618.44,122303.25,240.30,109.35,395.55,-44.55,187.92,-88.56,322.48,344.52
66.00,122655.32,147564.45,112.05,198.45,432.00,-8.10,272.16,-25.92,400.20,419.92
66.50,157641.08,137963.25,224.10,195.75,166.05,67.50,308.88,41.04,512.72,467.48
66.50,150960.05,159684.75,278.10,761.40,338.85,82.35,474.12,-2.16,505.76,526.64
66.50,136898.77,54957.15,352.35,499.50,495.45,87.75,89.64,137.16,230.84,303.92
66.60,131538.84,123434.55,276.75,126.90,105.30,36.45,184.68,74.52,356.12,436.16
66.90,120302.88,136131.30,168.75,241.65,263.25,58.05,147.96,-12.96,475.60,437.32
66.90,84444.96,31743.90,319.95,3199.50,11041.65,427.95,999.00,158.76,135.72,187.92
67.00,155368.69,139240.36,282.15,334.80,376.65,16.20,236.52,115.56,358.44,551.00
67.30,70610.00,27433.35,461.70,6073.65,1162.35,-16.20,-2.16,-25.92,46.40,303.92
67.40,161529.92,159019.20,270.00,310.50,411.75,129.60,381.24,62.64,520.84,552.16
67.50,152217.69,156617.55,315.90,533.25,175.50,149.85,258.12,-2.16,527.80,501.12
67.50,163139.92,169099.66,220.05,653.40,325.35,48.60,261.36,103.68,651.92,540.56
67.60,150988.56,119777.40,167.40,629.10,232.20,-37.80,224.64,1.08,331.76,458.20
67.80,140029.52,110976.75,193.05,244.35,81.00,-10.80,22.68,-61.56,227.36,430.36
67.90,82135.76,32614.65,814.05,3588.30,11573.55,413.10,1083.24,59.40,87.00,230.84
68.20,111494.80,78572.70,292.95,569.70,3910.95,230.85,360.72,-79.92,265.64,461.68
68.30,99369.20,117981.90,110.70,534.60,298.35,-52.65,168.48,-28.08,393.24,310.88
68.50,72412.28,26800.20,874.80,2369.25,4943.70,187.65,529.20,44.28,142.68,205.32
69.10,130983.16,157171.05,137.70,616.95,415.80,48.60,302.40,72.36,457.04,458.20
69.20,121597.32,124214.85,243.00,1431.00,564.30,-13.50,167.40,51.84,365.40,416.44
69.60,65791.96,23529.15,581.85,6606.90,8541.45,384.75,581.04,137.16,104.40,252.88
69.60,143204.44,151920.91,317.25,315.90,390.15,95.85,413.64,172.80,491.84,640.32
70.00,79340.80,30373.65,1150.20,6385.50,11361.60,874.80,848.88,174.96,124.12,309.72
70.00,114365.20,92176.65,106.65,58.05,29.70,44.55,35.64,51.84,226.20,432.68
70.10,154096.33,167231.25,324.00,180.90,164.70,83.70,298.08,-46.44,512.72,522.00
70.30,167440.00,223828.66,414.45,449.55,342.90,81.00,413.64,49.68,813.16,713.40
70.60,158141.56,262143.00,1275.75,1204.20,1170.45,136.35,589.68,111.24,1520.76,2219.08
70.80,131914.20,155695.50,159.30,454.95,176.85,18.90,274.32,-42.12,447.76,523.16
70.80,125339.88,122285.70,199.80,733.05,221.40,91.80,285.12,51.84,392.08,509.24
70.90,63152.48,27594.00,287.55,4525.20,9405.45,529.20,546.48,46.44,70.76,165.88
71.40,128456.84,116083.80,271.35,345.60,260.55,67.50,75.60,-6.48,319.00,429.20
71.50,157384.41,192109.05,511.65,507.60,375.30,32.40,165.24,49.68,547.52,722.68
71.60,58857.92,16645.50,221.40,418.50,7771.95,367.20,622.08,89.64,78.88,46.40
71.70,148477.88,170745.30,328.05,904.50,496.80,22.95,489.24,-46.44,603.20,563.76
71.90,171432.80,170295.75,270.00,737.10,581.85,82.35,197.64,117.72,447.76,555.64
72.00,159123.20,158496.75,360.45,170.10,214.65,108.00,389.88,119.88,469.80,522.00
72.30,77702.28,23276.70,442.80,4137.75,11488.50,616.95,871.56,278.64,76.56,273.76
72.40,87566.52,109170.45,168.75,259.20,174.15,18.90,345.60,56.16,298.12,426.88
72.40,97629.48,137376.00,108.00,249.75,361.80,-21.60,247.32,15.12,381.64,416.44
72.50,120905.48,153594.91,344.25,369.90,257.85,75.60,167.40,27.00,458.20,422.24
72.50,112647.56,120926.25,172.80,450.90,40.50,120.15,118.80,81.00,345.68,479.08
72.70,129405.36,136983.16,383.40,535.95,205.20,17.55,265.68,-22.68,486.04,549.84
73.50,166625.80,262143.00,1323.00,961.20,1217.70,278.10,581.04,6.48,1628.64,2449.92
73.50,169543.13,188250.75,322.65,430.65,418.50,93.15,185.76,140.40,524.32,781.84
73.70,150681.28,166725.00,274.05,1309.50,311.85,54.00,115.56,-37.80,498.80,582.32
73.80,160586.92,146659.95,290.25,402.30,140.40,35.10,246.24,22.68,506.92,641.48
74.00,134151.64,133093.80,178.20,495.45,299.70,79.65,274.32,-14.04,381.64,451.24
74.40,112257.48,77303.70,170.10,292.95,2251.80,91.80,166.32,12.96,291.16,466.32
74.70,100197.20,70684.65,139.05,284.85,249.75,44.55,332.64,-163.08,219.24,316.68
75.50,132687.00,156756.61,286.20,916.65,375.30,14.85,250.56,-8.64,425.72,451.24
75.60,114987.13,135383.41,341.55,272.70,187.65,17.55,86.40,6.48,381.64,437.32
75.60,116928.32,110710.80,267.30,295.65,121.50,0.00,368.28,33.48,402.52,516.20
75.70,156549.05,158707.36,318.60,373.95,337.50,64.80,319.68,155.52,528.96,475.60
76.30,168747.33,181337.41,276.75,386.10,502.20,-14.85,312.12,-62.64,480.24,591.60
76.90,149335.33,161449.20,336.15,288.90,330.75,74.25,220.32,-64.80,520.84,661.20
76.90,68924.56,21477.15,179.55,947.70,8729.10,430.65,436.32,118.80,89.32,111.36
77.20,152873.64,188045.55,224.10,406.35,346.95,47.25,325.08,-33.48,534.76,566.08
77.30,138977.05,132291.91,238.95,310.50,261.90,145.80,177.12,-100.44,354.96,524.32
77.40,149691.36,183720.16,268.65,318.60,552.15,-43.20,195.48,-29.16,669.32,606.68
77.70,162334.92,262143.00,1291.95,1044.90,1549.80,128.25,765.72,162.00,1492.92,2346.68
77.90,146599.25,174043.36,216.00,675.00,205.20,6.75,136.08,43.20,357.28,526.64
78.00,111797.48,137085.75,90.45,379.35,120.15,-6.75,309.96,20.52,385.12,321.32
78.00,136959.48,147469.95,302.40,248.40,279.45,32.40,387.72,-43.20,408.32,530.12
78.50,115943.92,81503.55,360.45,761.40,1661.85,97.20,240.84,132.84,273.76,337.56
78.70,150631.61,132009.75,292.95,730.35,301.05,82.35,232.20,-10.80,445.44,487.20
78.70,138813.28,163912.95,233.55,244.35,166.05,-9.45,179.28,-27.00,524.32,431.52
78.80,150856.08,172116.91,314.55,1468.80,614.25,41.85,124.20,139.32,464.00,603.20
78.90,103115.45,62968.05,329.40,430.65,1001.70,187.65,203.04,109.08,293.48,180.96
78.90,75372.84,29862.00,395.55,2979.45,10984.95,754.65,573.48,83.16,154.28,267.96
79.00,113738.68,99172.35,311.85,1146.15,355.05,27.00,140.40,-49.68,229.68,317.84
79.00,168886.25,200927.25,422.55,554.85,253.80,-14.85,220.32,-42.12,610.16,690.20
79.80,60396.16,23976.00,413.10,2396.25,8868.15,569.70,685.80,200.88,106.72,183.28
79.80,138700.13,163179.91,252.45,531.90,126.90,43.20,177.12,130.68,518.52,566.08
80.20,150678.52,189441.45,361.80,295.65,604.80,22.95,333.72,-108.00,626.40,683.24
80.60,65838.88,15269.85,89.10,203.85,66.15,-2.70,19.44,162.00,102.08,187.92
80.60,96182.32,67856.40,236.25,407.70,1344.60,0.00,165.24,108.00,264.48,303.92
80.70,118936.68,96888.15,148.50,822.15,345.60,33.75,114.48,-23.76,323.64,269.12
80.70,166860.41,223341.30,351.00,550.80,423.90,39.15,373.68,51.84,642.64,651.92
81.00,116448.09,106002.00,251.10,2276.10,691.20,56.70,353.16,-76.68,345.68,380.48
81.40,143465.72,149980.95,243.00,272.70,228.15,12.15,228.96,33.48,385.12,562.60
81.50,148377.61,151877.70,342.90,1264.95,423.90,166.05,179.28,-28.08,430.36,687.88
81.70,121461.16,154453.50,292.95,160.65,282.15,-4.05,150.12,20.52,527.80,560.28
81.80,126038.16,138677.41,291.60,1090.80,599.40,37.80,178.20,-4.32,533.60,363.08
82.10,123955.28,138153.61,234.90,295.65,567.00,109.35,349.92,-74.52,373.52,496.48
82.30,144792.36,151681.95,238.95,997.65,517.05,74.25,243.00,19.44,464.00,557.96
82.40,155447.80,185291.55,280.80,1310.85,332.10,-17.55,185.76,81.00,509.24,513.88
82.60,153517.64,147322.80,349.65,253.80,353.70,-6.75,505.44,-48.60,539.40,372.36
83.20,87519.60,25097.85,706.05,5636.25,9390.60,503.55,411.48,92.88,118.32,317.84
83.40,85398.08,23962.50,324.00,2494.80,467.10,87.75,99.36,22.68,63.80,170.52
83.50,169041.72,179046.45,319.95,662.85,270.00,35.10,396.36,9.72,480.24,650.76
83.60,130443.13,145247.86,278.10,1117.80,550.80,59.40,258.12,110.16,481.40,524.32
84.00,152183.64,173700.45,233.55,203.85,355.05,59.40,308.88,146.88,518.52,527.80
84.00,124624.13,139826.25,302.40,2714.85,703.35,102.60,217.08,-30.24,351.48,484.88
84.10,139095.72,199025.11,405.00,805.95,448.20,36.45,271.08,154.44,517.36,583.48
84.40,166044.36,189182.25,336.15,600.75,612.90,74.25,217.08,72.36,564.92,700.64
84.80,125153.13,133876.80,315.90,511.65,205.20,82.35,211.68,106.92,328.28,516.20
85.10,147602.05,163914.30,129.60,641.25,253.80,-17.55,280.80,-56.16,404.84,535.92
85.10,134552.77,165570.75,157.95,1327.05,467.10,24.30,342.36,-54.00,469.80,576.52
85.30,133902.33,135530.55,180.90,764.10,353.70,21.60,237.60,-18.36,409.48,453.56
85.40,120795.09,120613.05,324.00,322.65,99.90,32.40,184.68,34.56,280.72,406.00
85.50,155439.52,140000.41,325.35,414.45,232.20,14.85,289.44,-21.60,465.16,633.36
85.80,137585.08,113158.35,186.30,534.60,502.20,8.10,273.24,-70.20,406.00,368.88
85.90,129334.52,117605.25,152.55,-10.80,414.45,5.40,196.56,-100.44,352.64,373.52
86.00,129870.88,115931.25,166.05,907.20,411.75,48.60,106.92,-30.24,322.48,469.80
86.10,124840.32,127638.45,207.90,267.30,164.70,2.70,110.16,23.76,396.72,418.76
86.10,144458.41,183228.75,217.35,261.90,449.55,16.20,302.40,-43.20,468.64,474.44
86.30,128351.04,116737.20,156.60,1034.10,399.60,52.65,37.80,58.32,344.52,426.88
86.50,131255.48,124506.45,253.80,932.85,365.85,67.50,78.84,39.96,426.88,451.24
86.70,161003.69,170621.11,303.75,95.85,117.45,-21.60,169.56,115.56,571.88,512.72
86.90,89238.16,30184.65,305.10,253.80,259.20,-18.90,34.56,44.28,168.20,280.72
87.60,147998.56,164674.36,189.00,448.20,275.40,-33.75,304.56,-63.72,539.40,539.40
87.70,146055.52,147054.16,325.35,305.10,220.05,110.70,114.48,-1.08,486.04,578.84
88.80,162477.52,262143.00,1312.20,912.60,781.65,126.90,617.76,99.36,1620.52,2205.16
89.10,139754.44,123997.50,222.75,284.85,247.05,-2.70,186.84,112.32,409.48,410.64
89.40,80638.00,116573.85,75.60,64.80,175.50,89.10,112.32,46.44,299.28,495.32
89.40,78046.36,27514.35,616.95,4060.80,10354.50,541.35,540.00,29.16,49.88,237.80
89.50,125573.56,131202.45,251.10,44.55,292.95,-4.05,211.68,-23.76,354.96,530.12
89.60,156069.72,148001.86,279.45,232.20,99.90,-24.30,237.60,-1.08,526.64,569.56
89.70,139710.28,152620.20,232.20,795.15,247.05,10.80,129.60,-46.44,483.72,470.96
89.70,66556.48,21253.05,224.10,1601.10,7749.00,540.00,426.60,259.20,109.04,194.88
89.80,138217.13,154828.80,198.45,519.75,336.15,8.10,16.20,-116.64,480.24,454.72
90.10,79718.92,31761.45,326.70,2259.90,9409.50,314.55,709.56,194.40,69.60,328.28
90.90,61149.64,18230.40,194.40,550.80,7684.20,315.90,564.84,135.00,53.36,103.24
91.00,133344.80,131164.66,183.60,71.55,209.25,-12.15,265.68,-7.56,415.28,530.12
91.60,76969.96,26551.80,197.10,-9.45,36.45,68.85,19.44,36.72,134.56,179.80
92.30,117839.13,123934.05,171.45,189.00,398.25,49.95,316.44,51.84,353.80,324.80
92.40,146648.92,156926.70,261.90,217.35,359.10,41.85,257.04,77.76,582.32,628.72
92.50,140651.44,127411.65,328.05,585.90,278.10,90.45,77.76,44.28,408.32,556.80
92.80,156069.72,157692.16,245.70,1212.30,572.40,-10.80,185.76,38.88,426.88,505.76
92.80,88156.24,27760.05,803.25,5057.10,11643.75,658.80,984.96,159.84,80.04,226.20
92.90,112938.28,130623.30,229.50,885.60,90.45,6.75,124.20,70.20,258.68,407.16
93.30,58555.24,21286.80,170.10,1061.10,6026.40,461.70,633.96,181.44,78.88,229.68
93.50,147666.44,150506.11,283.50,486.00,530.55,27.00,255.96,-23.76,348.00,498.80
93.60,107465.20,123562.80,143.10,1031.40,527.85,28.35,125.28,-37.80,371.20,447.76
93.60,78824.68,25826.85,406.35,10515.15,12780.45,730.35,884.52,167.40,41.76,177.48
93.80,153732.00,186009.75,211.95,257.85,330.75,67.50,274.32,-27.00,510.40,552.16
93.90,110595.04,112414.50,155.25,240.30,340.20,52.65,214.92,9.72,357.28,380.48
94.30,152375.00,168893.11,257.85,261.90,198.45,24.30,305.64,5.40,497.64,664.68
94.40,125838.52,128432.25,341.55,446.85,356.40,-6.75,272.16,-32.40,338.72,419.92
94.60,150067.64,154020.16,318.60,449.55,313.20,-22.95,127.44,27.00,522.00,615.96
94.60,162241.08,164960.55,229.50,376.65,180.90,56.70,209.52,-6.48,531.28,466.32
94.80,126859.72,119034.90,209.25,2386.80,557.55,-9.45,68.04,50.76,408.32,475.60
94.90,117925.60,120600.90,159.30,187.65,194.40,32.40,351.00,108.00,299.28,467.48
95.70,50579.76,23816.70,518.40,1972.35,7983.90,193.05,447.12,23.76,148.48,185.60
95.90,77919.40,30828.60,328.05,3204.90,11203.65,405.00,885.60,212.76,111.36,247.08
96.40,120844.77,110093.85,276.75,415.80,288.90,48.60,410.40,81.00,339.88,613.64
96.90,69241.04,31062.15,232.20,533.25,224.10,75.60,-12.96,41.04,145.00,189.08
97.00,107023.60,69449.40,121.50,191.70,2158.65,342.90,365.04,-16.20,190.24,315.52
97.00,134063.33,145764.91,284.85,256.50,328.05,54.00,4.32,39.96,561.44,383.96
97.20,91918.13,118423.35,410.40,6257.25,1389.15,184.95,144.72,44.28,417.60,373.52
97.30,114311.84,132852.16,143.10,311.85,211.95,36.45,86.40,84.24,435.00,408.32
97.60,122674.64,59466.15,187.65,202.50,1151.55,24.30,270.00,74.52,237.80,343.36
97.60,140464.69,171112.50,271.35,654.75,249.75,44.55,263.52,-61.56,488.36,491.84
97.80,120849.36,130924.35,139.05,203.85,62.10,25.65,330.48,-97.20,329.44,345.68
97.90,134916.16,154190.25,187.65,129.60,195.75,10.80,129.60,20.52,421.08,520.84
98.00,126343.60,147382.20,272.70,784.35,255.15,-22.95,209.52,124.20,428.04,517.36
99.10,85476.28,67216.50,228.15,280.80,2513.70,209.25,351.00,111.24,300.44,267.96
99.10,144505.33,153890.55,176.85,564.30,519.75,9.45,334.80,30.24,512.72,644.96
99.30,262143.00,262143.00,814.05,1129.95,958.50,198.45,306.72,-7.56,1146.08,1146.08
99.30,115629.28,127805.85,243.00,136.35,203.85,56.70,99.36,27.00,350.32,358.44
99.40,100529.32,35287.65,788.40,4504.95,10885.05,741.15,1117.80,253.80,136.88,309.72
99.50,140232.84,131035.05,207.90,568.35,271.35,-5.40,347.76,-24.84,354.96,486.04
99.60,61610.56,19928.70,303.75,1742.85,8036.55,414.45,1050.84,192.24,75.40,213.44
99.60,110026.48,133123.50,184.95,120.15,155.25,36.45,233.28,146.88,425.72,506.92
99.90,80648.13,20868.30,129.60,1452.60,6351.75,336.15,558.36,146.88,92.80,105.56
99.90,137140.72,192348.00,355.05,665.55,469.80,-40.50,206.28,83.16,504.60,538.24
100.00,121636.88,156585.16,184.95,750.60,267.30,-14.85,264.60,30.24,385.12,424.56
100.10,122704.09,103657.05,106.65,284.85,108.00,-1.35,125.28,133.92,254.04,406.00
100.30,122296.52,115912.35,168.75,189.00,311.85,21.60,179.28,34.56,337.56,394.40
100.50,124291.09,123601.95,255.15,3723.30,905.85,32.40,236.52,10.80,410.64,422.24
100.80,113160.00,89961.30,180.90,621.00,184.95,-4.05,197.64,21.60,315.52,379.32
101.00,60352.00,21328.65,175.50,866.70,7038.90,502.20,667.44,60.48,40.60,109.04
101.00,166736.20,188819.11,390.15,1848.15,522.45,81.00,326.16,44.28,631.04,590.44
101.20,125870.72,72246.60,286.20,891.00,445.50,-13.50,111.24,51.84,280.72,327.12
101.20,141636.77,129883.50,224.10,1773.90,432.00,124.20,302.40,120.96,447.76,542.88
101.50,138306.36,138462.75,216.00,189.00,274.05,31.05,214.92,105.84,399.04,546.36
102.00,151827.61,164490.75,132.30,403.65,459.00,22.95,235.44,-37.80,406.00,578.84
102.10,164358.00,178480.80,303.75,232.20,324.00,41.85,274.32,-38.88,491.84,599.72
102.30,136552.84,141648.75,183.60,132.30,305.10,8.10,113.40,20.52,403.68,520.84
102.50,130750.41,144300.16,264.60,1282.50,544.05,74.25,285.12,-70.20,401.36,479.08
102.80,59912.24,18009.00,102.60,70.20,159.30,20.25,-30.24,12.96,56.84,117.16
102.80,115707.48,116973.45,205.20,1327.05,525.15,27.00,205.20,78.84,352.64,310.88
102.90,112826.04,78424.20,141.75,382.05,1200.15,33.75,63.72,30.24,320.16,342.20
103.10,126488.04,164586.61,361.80,5849.55,1572.75,313.20,218.16,31.32,393.24,488.36
103.30,150584.69,155644.20,271.35,229.50,353.70,130.95,304.56,144.72,459.36,440.80
103.60,122728.00,193129.66,236.25,780.30,500.85,44.55,420.12,-55.08,573.04,638.00
103.70,75375.60,30389.85,117.45,130.95,17.55,89.10,-28.08,-10.80,128.76,250.56
103.70,115398.36,134920.36,314.55,275.40,152.55,31.05,683.64,63.72,453.56,461.68
103.80,141973.48,134123.86,240.30,209.25,209.25,81.00,136.08,32.40,403.68,436.16
103.80,148433.72,154704.61,249.75,-4.05,346.95,48.60,379.08,-12.96,576.52,571.88
103.90,190327.77,190513.36,442.80,140.40,265.95,10.80,284.04,89.64,627.56,636.84
104.10,73831.84,26739.45,538.65,3670.65,10189.80,426.60,878.04,220.32,175.16,237.80
104.10,121206.32,115554.60,171.45,168.75,103.95,102.60,144.72,93.96,287.68,499.96
104.20,142567.80,138100.95,202.50,168.75,132.30,39.15,193.32,49.68,386.28,444.28
104.50,96031.45,109062.45,230.85,292.95,233.55,90.45,241.92,8.64,294.64,406.00
104.60,138290.72,131770.80,153.90,481.95,202.50,35.10,341.28,160.92,426.88,459.36
104.60,153864.48,189604.80,287.55,916.65,398.25,139.05,322.92,27.00,576.52,622.92
104.70,167876.08,190653.75,438.75,195.75,243.00,97.20,237.60,-5.40,569.56,618.28
104.80,82403.48,104353.65,180.90,1144.80,526.50,124.20,397.44,-21.60,254.04,457.04
105.10,77077.60,26136.00,186.30,1802.25,349.65,25.65,-57.24,-37.80,151.96,143.84
105.20,124472.32,115352.10,152.55,183.60,133.65,36.45,214.92,81.00,348.00,328.28
105.30,153615.16,168037.20,310.50,221.40,382.05,13.50,78.84,15.12,540.56,571.88
105.30,65675.13,20706.30,191.70,938.25,9308.25,611.55,651.24,171.72,97.44,31.32
105.60,85907.76,15699.15,85.05,294.30,8.10,-33.75,19.44,-57.24,69.60,89.32
105.60,151024.44,216152.55,384.75,1516.05,510.30,85.05,436.32,61.56,592.76,625.24
106.20,145067.44,172079.11,270.00,305.10,214.65,-4.05,131.76,-51.84,524.32,497.64
106.20,173936.13,170364.61,415.80,352.35,477.90,32.40,450.36,165.24,554.48,678.60
106.30,65343.92,24614.55,228.15,2058.75,8502.30,634.50,569.16,228.96,109.04,161.24
106.60,119597.24,136264.95,167.40,608.85,326.70,-25.65,201.96,28.08,418.76,407.16
106.60,144994.77,157773.16,299.70,464.40,139.05,58.05,286.20,1.08,438.48,592.76
106.60,165526.41,172388.25,267.30,340.20,338.85,-5.40,168.48,-6.48,410.64,534.76
106.80,105633.48,117903.60,286.20,754.65,357.75,-8.10,126.36,52.92,327.12,430.36
106.90,138472.88,136262.25,124.20,222.75,214.65,64.80,143.64,-5.40,351.48,477.92
107.00,68160.04,22137.30,346.95,1989.90,9845.55,344.25,557.28,168.48,66.12,197.20
107.40,74433.52,22130.55,658.80,588.60,7732.80,583.20,368.28,152.28,91.64,226.20
108.10,141310.16,154252.36,137.70,274.05,85.05,1.35,328.32,93.96,441.96,483.72
108.50,102660.04,127695.15,193.05,515.70,346.95,55.35,312.12,20.52,330.60,451.24
108.60,76149.32,26131.95,313.20,4774.95,15412.95,861.30,1086.48,167.40,100.92,179.80
108.70,66059.68,26562.60,168.75,202.50,193.05,37.80,105.84,-21.60,87.00,279.56
108.80,172237.80,185978.70,402.30,846.45,365.85,122.85,381.24,96.12,571.88,609.00
108.90,143494.25,158535.91,282.15,307.80,241.65,-22.95,295.92,12.96,476.76,511.56
109.50,154097.25,154188.91,218.70,695.25,510.30,-18.90,383.40,167.40,555.64,513.88
109.70,176366.77,182742.75,326.70,338.85,241.65,87.75,217.08,37.80,568.40,693.68
109.80,140248.48,149766.30,166.05,263.25,199.80,0.00,198.72,-22.68,474.44,506.92
109.90,151428.33,133866.00,198.45,126.90,-16.20,43.20,104.76,3.24,440.80,425.72
109.90,92427.80,83428.65,180.90,1332.45,317.25,-24.30,294.84,31.32,328.28,274.92
109.90,95611.92,77672.25,149.85,468.45,2336.85,144.45,252.72,-30.24,295.80,336.40
110.30,150446.69,142141.50,264.60,742.50,202.50,-6.75,142.56,-18.36,422.24,620.60
110.30,69967.84,27294.30,112.05,247.05,-31.05,55.35,35.64,70.20,157.76,92.80
110.40,124722.56,137821.50,197.10,695.25,392.85,78.30,81.00,36.72,404.84,510.40
110.50,137459.05,147976.20,202.50,59.40,465.75,0.00,298.08,-73.44,422.24,444.28
110.80,137717.56,179390.70,364.50,209.25,43.20,35.10,99.36,65.88,497.64,609.00
110.80,144040.72,153272.25,247.05,400.95,159.30,24.30,348.84,74.52,428.04,402.52
111.00,110342.04,74027.25,236.25,421.20,1629.45,81.00,226.80,-83.16,360.76,457.04
111.30,84431.16,23103.90,504.90,4222.80,11294.10,585.90,768.96,170.64,139.20,243.60
111.30,177155.20,214610.86,444.15,1464.75,603.45,21.60,330.48,-19.44,834.04,822.44
111.70,126254.36,146952.91,186.30,1387.80,321.30,33.75,168.48,131.76,432.68,302.76
111.80,86828.68,24632.10,720.90,103.95,-20.25,35.10,120.96,93.96,149.64,233.16
111.80,125413.48,114713.55,210.60,908.55,472.50,20.25,224.64,-16.20,409.48,328.28
112.00,136433.25,134410.05,216.00,260.55,391.50,129.60,170.64,105.84,314.36,419.92
112.20,130441.28,150952.95,280.80,264.60,279.45,99.90,172.80,-39.96,528.96,577.68
112.80,156742.25,183217.95,394.20,344.25,326.70,8.10,402.84,9.72,557.96,593.92
112.80,115057.96,137428.66,283.50,187.65,105.30,76.95,108.00,154.44,446.60,377.00
113.20,133738.56,134947.36,136.35,317.25,149.85,137.70,97.20,-6.48,482.56,475.60
113.40,154161.64,184111.66,174.15,218.70,136.35,21.60,284.04,43.20,527.80,716.88
113.70,122841.16,133893.00,232.20,315.90,333.45,-24.30,211.68,19.44,466.32,510.40
113.70,172949.89,190632.16,306.45,353.70,288.90,36.45,236.52,59.40,528.96,812.00
114.20,93078.24,28154.25,463.05,2882.25,642.60,10.80,-101.52,-8.64,154.28,175.16
114.20,130526.84,183497.41,226.80,202.50,171.45,54.00,352.08,31.32,586.96,534.76
114.30,141705.77,151152.75,221.40,137.70,113.40,75.60,117.72,-17.28,481.40,513.88
114.40,59534.12,22086.00,207.90,2204.55,5733.45,360.45,718.20,140.40,20.88,184.44
114.40,133664.05,126882.45,265.95,230.85,213.30,29.70,120.96,50.76,414.12,489.52
